username;tg_url;name;description;subscribers;tgstat_url;peer_type
work_copywriters;https://t.me/s/work_copywriters;Работа для копирайтеров и редакторов;Разместить вакансию @freelancework_vacancy_bot;14843;https://tgstat.ru/channel/@work_copywriters;channel
seamenjob;https://t.me/s/seamenjob;𝐉𝐎𝐁 𝐀𝐓 𝐒𝐄𝐀;Актуальные вакансии для моряков;14842;https://tgstat.ru/channel/@seamenjob;channel
megafonjobs;https://t.me/s/megafonjobs;Карьера в МегаФоне;Рассказываем о карьере, постим вакансии и делимся полезными материалами от наших коллег.;14762;https://tgstat.ru/channel/@megafonjobs;channel
Perforum_jobs;https://t.me/s/Perforum_jobs;Perforum jobs;Это бывший канал @EMCR_jobs. Теперь - это рекрутинговый сервис сети Perforum. Читайте правила в закрепе и жмите «+вакансия» на  https://perforum.io/jobs;14672;https://tgstat.ru/channel/@Perforum_jobs;channel
progjob;https://t.me/s/progjob;Работа для программистов;Работа для программистов, IT специалистов.;14637;https://tgstat.ru/channel/@progjob;channel
vacancy_cs;https://t.me/s/vacancy_cs;ФКН: Вакансии;Канал с вакансиями, мероприятиями и хакатонами из закрытого ФКНского чата вакансий. Чтобы опубликовать вакансию, можно написать её в чат или в лс @NanoBjorn. Если она понравится чату, то будет опубликована в канале. Правила в закрепе.;14417;https://tgstat.ru/channel/@vacancy_cs;channel
RestoranHR;https://t.me/s/RestoranHR;Resto HR - работа в ресторанах, повара, вакансии общепит, Москва;Resto HR: хорошие вакансии ресторанов России.;14405;https://tgstat.ru/channel/@RestoranHR;channel
nevolk_rabota;https://t.me/s/nevolk_rabota;не волк;вакансии для урбанистов / архитекторов / девелоперов и не только;14089;https://tgstat.ru/channel/@nevolk_rabota;channel
forhr;https://t.me/s/forhr;Job for HR (IT & Digital);Вакансии для HR, Рекрутеров, HR BP, HRD в IT & Digital сферах.;14058;https://tgstat.ru/channel/@forhr;channel
projects_jobs_feed;https://t.me/s/projects_jobs_feed;Management Jobs — вакансии и резюме;Вакансии и резюме из @projects_jobs;13973;https://tgstat.ru/channel/@projects_jobs_feed;channel
python_djangojobs;https://t.me/s/python_djangojobs;Python Jobs;;13825;https://tgstat.ru/channel/@python_djangojobs;channel
job_javadevs;https://t.me/s/job_javadevs;Java Job | Вакансии | Работа;Все каналы и цены  - @best_ITjob;13758;https://tgstat.ru/channel/@job_javadevs;channel
coppvakansii;https://t.me/s/coppvakansii;Вакансии от ЦОПП Московской области;Вакансии от работодателей-партнеров ЦОПП МО Московской области.  ️Доступно соискателям с инвалидностью️;13684;https://tgstat.ru/channel/@coppvakansii;channel
personnelnsk;https://t.me/s/personnelnsk;Ежедневная подработка|Новосибирск;Подработка Работа;13587;https://tgstat.ru/channel/@personnelnsk;channel
allcrewing;https://t.me/s/allcrewing;ALL CREW LLC/ ООО АЛЛ КРЮ, вакансии, крюинг, работа в море;️Вакансии крюинга - ALL CREW LLC (Калининград);13478;https://tgstat.ru/channel/@allcrewing;channel
jobfortm;https://t.me/s/jobfortm;Job for IT-TOP (Technical Managers);Вакансии для Технических руководителей: CTO, CIO, Head of Development/QA/Devops.;13306;https://tgstat.ru/channel/@jobfortm;channel
workenot;https://t.me/s/workenot;Работа от енота;Подработка и полноценная работа для начинающих и мидл-специалистов. Твой дайджест эксклюзивных вакансий со всего интернета.;13200;https://tgstat.ru/channel/@workenot;channel
runello_rus_frontend;https://t.me/s/runello_rus_frontend;Front-end Job Offers;Поиск работы — в одном понятном сценарии.;13102;https://tgstat.ru/channel/@runello_rus_frontend;channel
javadevjob;https://t.me/s/javadevjob;Java jobs — вакансии для java-разработчиков;Лучшие вакансии для джавистов.;13004;https://tgstat.ru/channel/@javadevjob;channel
Rabota_vakansii_vahtovik;https://t.me/s/Rabota_vakansii_vahtovik;Вахтовик • Работа вахтой;Канал вахтовиков. Публикуются отзывы, новости, статьи, вакансии. Все что связанно с работой вахтовым методом!;12981;https://tgstat.ru/channel/@Rabota_vakansii_vahtovik;channel
rabotanornickel;https://t.me/s/rabotanornickel;Работа в «Норникеле»;️ Как стать частью команды мирового лидера в горно-добывающей отрасли? Узнайте здесь — в официальном карьерном сообществе «Норникеля»!;12978;https://tgstat.ru/channel/@rabotanornickel;channel
kadrof_work;https://t.me/s/kadrof_work;Вакансии для фрилансеров, удаленная работа;Новые вакансии удаленной работы и заказы для фрилансеров. Обновляется каждый день. Подписывайтесь!;12973;https://tgstat.ru/channel/@kadrof_work;channel
workfreelancer;https://t.me/s/workfreelancer;Фрилансер: вакансии на удаленке;Площадка для поиска удалённой работы.  Разместить вакансию/рекламу/резюме @workfreelancer_official_bot;12958;https://tgstat.ru/channel/@workfreelancer;channel
vacancyCRC;https://t.me/s/vacancyCRC;Вакансии от CRC;размещение вакансий для middle/top менеджеров: https://t.me/vacancyCRC/11909;12861;https://tgstat.ru/channel/@vacancyCRC;channel
work_hr;https://t.me/s/work_hr;Удаленная работа для HR;Правила канала→ https://t.me/work_hr/2252;12752;https://tgstat.ru/channel/@work_hr;channel
vakanser_freelancer;https://t.me/s/vakanser_freelancer;Вакансер — Фриланс | Freelance подработка | Удаленная работа;Вакансер – быстрый и лёгкий способ найти работу.;12665;https://tgstat.ru/channel/@vakanser_freelancer;channel
mskrabota;https://t.me/s/mskrabota;Работа в Москве;Найди работу в Москве;12646;https://tgstat.ru/channel/@mskrabota;channel
rabota_freelancee;https://t.me/s/rabota_freelancee;Удаленка. Вакансии и резюме Маркетинг, SMM, Digital - все для онлайна;Для размещения пиши: @digital_make;12542;https://tgstat.ru/channel/@rabota_freelancee;channel
pythonrabota;https://t.me/s/pythonrabota;Python работа;Вакансии по Python. Только новые и только те,  где можно связаться напрямую с HR или начальником.;12482;https://tgstat.ru/channel/@pythonrabota;channel
aviahh;https://t.me/s/aviahh;Работа в авиации;Публикуем авиационные и околоавиационные вакансии;12481;https://tgstat.ru/channel/@aviahh;channel
jobforpr;https://t.me/s/jobforpr;Job for PR и SMM;Вакансии в PR и SMM.;12313;https://tgstat.ru/channel/@jobforpr;channel
oppo4you;https://t.me/s/oppo4you;Opportunity for you by FutureToday.KZ;№1 Карьерный акселератор в Казахстане;12305;https://kaz.tgstat.com/channel/@oppo4you;channel
Inwork;https://t.me/s/Inwork;Work in;Тут про вакансии от друзей;12285;https://tgstat.ru/channel/@Inwork;channel
forgamedev;https://t.me/s/forgamedev;Job for Gamedev;Вакансии в Геймдеве.;12148;https://tgstat.ru/channel/@forgamedev;channel
affy_hr;https://t.me/s/affy_hr;affy | CPA HR | Арбитраж Трафика Вакансии;affy HR — поиск надежных вакансий в сфере Арбитража Трафика и маркетинге;12052;https://uk.tgstat.com/channel/@affy_hr;channel
vacanci;https://t.me/s/vacanci;Вакансии&Резюме;Актуальные вакансии по всему миру с прямыми контактами, проверенные рекомендации специалистов.;11918;https://tgstat.ru/channel/@vacanci;channel
rabovnet;https://t.me/s/rabovnet;RabovNet - удаленка, вакансии, работа, фриланс;Нет рабству — работай тогда, когда пожелаешь!;11829;https://tgstat.ru/channel/@rabovnet;channel
delaemknigi;https://t.me/s/delaemknigi;Делаем книги;Вакансии для писателей, издателей и специалистов книжной сферы;11817;https://tgstat.ru/channel/@delaemknigi;channel
rabota2k;https://t.me/s/rabota2k;Работа 2К : Свежие вакансии;Срочные вакансии для тех, кто готов выйти сегодня ️ Подпишись и откликайся на самые выгодные предложения для курьеров, сборщиков и не только;11783;https://tgstat.ru/channel/@rabota2k;channel
jobosphere;https://t.me/s/jobosphere;JOBOSPHERE | ВАКАНСИИ;JOBOSPHERE - канал проектных вакансий - дочка маминой подруги в мире телеграм каналов;11772;https://tgstat.ru/channel/@jobosphere;channel
rabota_kazan_vzialiru;https://t.me/s/rabota_kazan_vzialiru;Взяли.ру Работа Казань;Поиск работы и сотрудников;11750;https://tgstat.ru/channel/@rabota_kazan_vzialiru;channel
halyk_jumys;https://t.me/s/halyk_jumys;Halyk Jumys;Ищешь новые карьерные возможности? Тогда наш канал для тебя!;11681;https://tgstat.ru/channel/@halyk_jumys;channel
personnelnskchas;https://t.me/s/personnelnskchas;Часовые заявки|Новосибирск;Подработка Работа;11672;https://tgstat.ru/channel/@personnelnskchas;channel
godevjob;https://t.me/s/godevjob;Go jobs — вакансии по Go;Лучшие вакансии по Go.;11593;https://tgstat.ru/channel/@godevjob;channel
vakanser_digital_smm;https://t.me/s/vakanser_digital_smm;Работа в Digital & SMM | Фриланс и работа;Фриланс проекты и вакансии в Digital & SMM, с прямыми контактами работодателей;11586;https://tgstat.ru/channel/@vakanser_digital_smm;channel
JScript_jobs;https://t.me/s/JScript_jobs;JavaScript Job | Вакансии | Стажировки;Вакансии отобраны из проверенных IT-компаний;11460;https://tgstat.com/ru/channel/@JScript_jobs;channel
runello_rus_backend;https://t.me/s/runello_rus_backend;Backend Job Offers;Поиск работы — в одном понятном сценарии.;11442;https://tgstat.ru/channel/@runello_rus_backend;channel
studentsuper;https://t.me/s/studentsuper;SuperJob Старт / Работа для студентов и молодых специалистов;25 лет SuperJob помогает компаниям находить сотрудников, а миллионам людей — работу;11306;https://tgstat.ru/channel/@studentsuper;channel
copy_go;https://t.me/s/copy_go;Копирайтинг 2.0 | Вакансии, работа;Лучшее, что может найти копирайтер!;11153;https://tgstat.ru/channel/@copy_go;channel
rabota_football;https://t.me/s/rabota_football;Работа в футболе;По всем вопросам @pflru;11145;https://tgstat.ru/channel/@rabota_football;channel
RabotaRegionIrkutsk;https://t.me/s/RabotaRegionIrkutsk;Работа в Иркутской области и вахтой в Сибири.;Все лучшие предложения о работе в нашем регионе и вахтой .;11115;https://tgstat.ru/channel/@RabotaRegionIrkutsk;channel
sport_rabota;https://t.me/s/sport_rabota;Работа в спорте;Спортивный онлайн рекрутинг;11049;https://tgstat.ru/channel/@sport_rabota;channel
datajobschannel;https://t.me/s/datajobschannel;Data jobs feed;Data Engineers;11029;https://tgstat.ru/channel/@datajobschannel;channel
frontendInterview;https://t.me/s/frontendInterview;Frontend Interview - собеседования по Javascript / Html / Css;Канал для подготовки к собеседованиям по фронтенду;11018;https://tgstat.ru/channel/@frontendInterview;channel
buhjob;https://t.me/s/buhjob;Бухджоб — вакансии для бухгалтеров;Вакансии для бухгалтеров, финансистов и менеджмента.  Бесплатно!;10963;https://tgstat.ru/channel/@buhjob;channel
selectelcareers;https://t.me/s/selectelcareers;Selectel Team;Здесь про инженерную культуру, развитие и возможности стать частью команды Selectel.;10859;https://tgstat.ru/channel/@selectelcareers;channel
workle_ru;https://t.me/s/workle_ru;Workle Pro;Официальный канал Workle Pro: новости, предложения, онлайн-работа. Сайт: https://www.workle.ru/l/l-8krbi95;10817;https://tgstat.ru/channel/@workle_ru;channel
ru_pythonjobs;https://t.me/s/ru_pythonjobs;Вакансии для Python-разработчиков / Python Jobs;Размещение вакансий бесплатно.;10722;https://tgstat.ru/channel/@ru_pythonjobs;channel
workayte;https://t.me/s/workayte;Работа в ИТ;Вакансии в ИТ, IT job, работа за рубежом, the work, head hunter, hh, remote job, part time job, фриланс, аутсорс, лучшие вакансии.;10655;https://tgstat.ru/channel/@workayte;channel
RuSecJobs;https://t.me/s/RuSecJobs;RuSecJobs Channel;№ 6896897112;10448;https://tgstat.ru/channel/@RuSecJobs;channel
workremotejob;https://t.me/s/workremotejob;Вакансии | удаленная работа;Подписаны 5 ваших друзей.;10439;https://tgstat.ru/channel/@workremotejob;channel
workindesign;https://t.me/s/workindesign;Work for Designers;№ 7007251462;10421;https://tgstat.ru/channel/@workindesign;channel
hr_itwork;https://t.me/s/hr_itwork;Ит Вакансии / Работа программиста;Работа для программистов и  фрилансеров.;10417;https://tgstat.ru/channel/@hr_itwork;channel
careercentreitmo;https://t.me/s/careercentreitmo;Центр карьеры ИТМО;Центр карьеры ИТМО🫶;10386;https://tgstat.ru/channel/@careercentreitmo;channel
rabotka_zdes;https://t.me/s/rabotka_zdes;Работка | Вакансии | Удаленная работа;Канал со свежими удаленными вакансиями!;10377;https://tgstat.ru/channel/@rabotka_zdes;channel
jobkawork;https://t.me/s/jobkawork;Jobka: Работа - вакансии;Jobka - место, где ты найдешь работу по душе. Наша команда вручную отбирает лучшие вакансии и проекты для тебя!;10318;https://tgstat.ru/channel/@jobkawork;channel
runello_rus_webdesign;https://t.me/s/runello_rus_webdesign;Web Design Job Offers;Поиск работы — в одном понятном сценарии.;10268;https://tgstat.ru/channel/@runello_rus_webdesign;channel
work_for_everyone;https://t.me/s/work_for_everyone;Работа для всех! |Вакансии, работа, фриланс, удаленная работа, работа вахтой;Ежедневно публикуем вакансии:;10246;https://tgstat.ru/channel/@work_for_everyone;channel
csharpdevjob;https://t.me/s/csharpdevjob;C# jobs — вакансии по C#, .NET, Unity;Лучшие вакансии для шарпистов.;10243;https://tgstat.ru/channel/@csharpdevjob;channel
jkazan;https://t.me/s/jkazan;Шабашка / Работа в Казани;ʙᴇдущий ᴄᴇᴩʙиᴄ ᴨᴏ ᴨᴏдбᴏᴩу ʙᴀᴋᴀнᴄий и ᴨᴇᴩᴄᴏнᴀᴧᴀ ʙ ᴦ.ᴋᴀɜᴀнь;10243;https://tgstat.ru/channel/@jkazan;channel
gorod_masterov_yakutsk;https://t.me/s/gorod_masterov_yakutsk;«Город Мастеров» Якутск;У НАС, ТОЛЬКО ВАКАНСИИ, связанные с разовыми работами, шабашками, халтурами, подработками, услугами. Присоединяйтесь.;10205;https://tgstat.ru/channel/@gorod_masterov_yakutsk;channel
mgimocareer;https://t.me/s/mgimocareer;2b.mgimo.career;Вакансии от выпускников МГИМО для выпускников МГИМО;10190;https://tgstat.ru/channel/@mgimocareer;channel
rabotasakhalin;https://t.me/s/rabotasakhalin;РАБОТА САХАЛИН;Работа на Сахалине №1;10173;https://tgstat.ru/channel/@rabotasakhalin;channel
freelancefam;https://t.me/s/freelancefam;ЛОВИ ОФФЕР!;Место, где ты найдешь тот самый оффер;10165;https://tgstat.ru/channel/@freelancefam;channel
evrazia_govorit;https://t.me/s/evrazia_govorit;SkillBridge — Евразия говорит!;Вакансии, стажировки и гранты для талантливой молодежи стран Евразии;10094;https://tgstat.ru/channel/@evrazia_govorit;channel
CREW_ARIA;https://t.me/s/CREW_ARIA;CREW ARIA | JOB AT SEA;Maritime jobs for seafarers;10086;https://tgstat.ru/channel/@CREW_ARIA;channel
it_vak;https://t.me/s/it_vak;IT - Вакансии I Удаленка/Офис;Вакансии и резюме в IT сфере;10071;https://tgstat.ru/channel/@it_vak;channel
mskstaff;https://t.me/s/mskstaff;MSKstaff Официанты Москвы;Подбор персонала на мероприятия.;10041;https://tgstat.ru/channel/@mskstaff;channel
jobskolkovo;https://t.me/s/jobskolkovo;Работа в Сколково;"Канал с вакансиями экосистемы ""Сколково"". Если вы участник проекта, партнер или коммерческий оператор инновационного центра, присылайте свои вакансии: vacancy@sk.ru или @M_Abramova";10006;https://tgstat.ru/channel/@jobskolkovo;channel
runello_rus_datascience;https://t.me/s/runello_rus_datascience;Data Science & Analytics Job Offers;Поиск работы — в одном понятном сценарии.;9968;https://tgstat.ru/channel/@runello_rus_datascience;channel
forumdentalassistant;https://t.me/s/forumdentalassistant;Форум Ассистентов Стоматолога ⚡;Помогаем найти работу ассистентам стоматолога, клиникам кадры, делимся опытом и знаниями в области стоматологии.;9897;https://tgstat.ru/channel/@forumdentalassistant;channel
runello_rus_digitalmarketing;https://t.me/s/runello_rus_digitalmarketing;Digital Marketing Job Offers;Поиск работы — в одном понятном сценарии.;9864;https://tgstat.ru/channel/@runello_rus_digitalmarketing;channel
runello_rus_contentmanagement;https://t.me/s/runello_rus_contentmanagement;Content Management & Writing Job Offers;Поиск работы — в одном понятном сценарии.;9855;https://tgstat.ru/channel/@runello_rus_contentmanagement;channel
sochi_podrabotka;https://t.me/s/sochi_podrabotka;ПОДРАБОТКА | СОЧИ | АДЛЕР | КП;разовые подработки / на короткий срок, с ежедневной оплатой / оплатой в конце срока.;9788;https://tgstat.ru/channel/@sochi_podrabotka;channel
AcademyQA;https://t.me/s/AcademyQA;AcademyQA — От теории к практике | Образование & Карьера;— Лучшие предложения по образовательным проектам;9780;https://tgstat.ru/channel/@AcademyQA;channel
prwork;https://t.me/s/prwork;PR-работа;По поводу размещения вакансий для пиарщиков пишите @pr_job_bot. Стоимость размещения для коммерческих компании — 9 000 рублей, вакансии под крипту — 15 000 рублей. Для остальных — бесплатно.;9768;https://tgstat.ru/channel/@prwork;channel
magadan_vacancies;https://t.me/s/magadan_vacancies;Ваⷨкⷶаⷢнⷶсⷣиⷶиⷩ;.;9719;https://tgstat.ru/channel/@magadan_vacancies;channel
Visionisland;https://t.me/s/Visionisland;Vision Island. Вакансии для дизайнеров;Разместить вакансию @freelancework_vacancy_bot;9701;https://tgstat.ru/channel/@Visionisland;channel
rabochie_ufa;https://t.me/s/rabochie_ufa;РАБОЧИЕ УФА +79373033037;+79373033037 Марсель https://t.me/Marsel_89373033037 забрать заказ:http://rabochie-ufa.ru и http://t.me/rabochie_89373033037_bot Мы в: https://max.ru/timurovsi и https://vk.com/timurovsi Заказчикам: https://t.me/rabochie_ufa/95238;9574;https://tgstat.ru/channel/@rabochie_ufa;channel
flexible_100K;https://t.me/s/flexible_100K;ГИБКАЯ РАБОТА | Эксперты 100К+;Вакансии для экспертов Middle+/Senior/Lead, которые хотят работать удаленно или совмещать.;9427;https://tgstat.ru/channel/@flexible_100K;channel
job_web3;https://t.me/s/job_web3;Web 3.0 Job | Крипто Вакансии;Jobs  are hand-picked;9417;https://tgstat.com/ru/channel/@job_web3;channel
goodpeople_pro;https://t.me/s/goodpeople_pro;Вакансии для хороших людей в Петербурге;По всем вопросам: @ilzakirov и @tkokorina. (Канал не продается);9366;https://tgstat.ru/channel/@goodpeople_pro;channel
help_seafarers;https://t.me/s/help_seafarers;OFFSHORE JOB / МОРЯКИ / РАБОТА / CV РАССЫЛКА;CV - РАССЫЛКА / УХОД В РЕЙС / ВАКАНСИИ Offshore Fleet;9347;https://tgstat.ru/channel/@help_seafarers;channel
klgrabota;https://t.me/s/klgrabota;Калуга Работа;У нас только ПРОВЕРЕННЫЕ калужские вакансии.;9294;https://tgstat.ru/channel/@klgrabota;channel
blastim;https://t.me/s/blastim;Бластим: курсы и работа в биотехе;️ Наши курсы: agency.blastim.ru;9275;https://tgstat.ru/channel/@blastim;channel
HRTech_Jobs;https://t.me/s/HRTech_Jobs;HR-Tech.Карьера 🔥;Ежедневно публикуем вакансии в сфере HR-Tech от лучших компаний. Подпишитесь и найдите работу своей мечты!;9252;https://tgstat.ru/channel/@HRTech_Jobs;channel
aurajob;https://t.me/s/aurajob;Aura Job | Фриланс и Удаленка | Вакансии | Подработка;Проверенные вакансии каждый день;9184;https://tgstat.ru/channel/@aurajob;channel
tavridahh;https://t.me/s/tavridahh;ТАВРИДА.ВАКАНСИИ;;9166;https://tgstat.ru/channel/@tavridahh;channel
allgigs;https://t.me/s/allgigs;Mellow || Зарубежные фриланс-заказы каждый день;По будням публикуем подборки проектов, где нужны фрилансеры;9115;https://tgstat.ru/channel/@allgigs;channel
hrcampus;https://t.me/s/hrcampus;HR Campus 🚀;Здесь о том, как технологии изменяют HR и рекрутинг. AI в HR.;9084;https://tgstat.ru/channel/@hrcampus;channel
rabotavsochi_t;https://t.me/s/rabotavsochi_t;Работа в Сочи;ВАКАНСИИ  РЕЗЮМЕ;9040;https://tgstat.ru/channel/@rabotavsochi_t;channel
pydevjob;https://t.me/s/pydevjob;Python jobs — вакансии по питону, Django, Flask;Лучшие вакансии для питонистов.;8998;https://tgstat.ru/channel/@pydevjob;channel
lanit_in_search;https://t.me/s/lanit_in_search;ЛАНИТ ищет;Мы ― команда ЛАНИТ.;8995;https://tgstat.ru/channel/@lanit_in_search;channel
ue_pub;https://t.me/s/ue_pub;Unreal Engine Jobs;Если есть вакансия по Unreal Engine, то пришлите ее мне: @stetsofa;8954;https://tgstat.ru/channel/@ue_pub;channel
theyseeku_it;https://t.me/s/theyseeku_it;Удаленка — IT и Digital;Поиск удалённой работы и сотрудников в сфере IT и Digital.;8842;https://tgstat.ru/channel/@theyseeku_it;channel
KitHR_Official;https://t.me/s/KitHR_Official;Подбор VIP ассистентов / помощников KitHR;Разместить бесплатно вакансию или заказать VIP подбор помощника, бизнес-ассистента под ключ, в лс @NEWoffice1;8827;https://tgstat.ru/channel/@KitHR_Official;channel
dartlang_jobs;https://t.me/s/dartlang_jobs;Dart Jobs;Канал для вакансий по Dart (Flutter) стеку.;8797;https://tgstat.ru/channel/@dartlang_jobs;channel
rabota_stroika_stavropol;https://t.me/s/rabota_stroika_stavropol;Стройка | Вакансии/Резюме | Ставрополь;Работа в Ставрополе ремонт, стройка. Группа для поиска работы и размещения ваканский:;8768;https://tgstat.ru/channel/@rabota_stroika_stavropol;channel
jsdevjob;https://t.me/s/jsdevjob;Javascript jobs — вакансии по фронтенду, джаваскрипт, React, Angular, Vue;Лучшие вакансии для фронтендеров.;8705;https://tgstat.ru/channel/@jsdevjob;channel
it_vac;https://t.me/s/it_vac;IT Jobs | вакансии, фриланс;Вакансии и резюме в IT сфере;8682;https://tgstat.ru/channel/@it_vac;channel
runello_rus_mobileappdevelopment;https://t.me/s/runello_rus_mobileappdevelopment;Mobile App Development Job Offers;Поиск работы — в одном понятном сценарии.;8660;https://tgstat.ru/channel/@runello_rus_mobileappdevelopment;channel
crewhunterma;https://t.me/s/crewhunterma;CREW HUNTER;Crew Hunter - вакансии для моряков, морские новости.;8513;https://tgstat.ru/channel/@crewhunterma;channel
innopolis_job;https://t.me/s/innopolis_job;Вакансии города Иннополис;Вакансии города Иннополис;8508;https://tgstat.ru/channel/@innopolis_job;channel
smm_leads;https://t.me/s/smm_leads;SMM LEADS;Вакансии и заявки в сфере интернет маркетинга.;8495;https://tgstat.ru/channel/@smm_leads;channel
partnerkin_job;https://t.me/s/partnerkin_job;Вакансии: Арбитраж трафика, SEO, Affiliate [Партнеркин];Лучшие вакансии арбитража трафика, CPA и SEO;8482;https://tgstat.ru/channel/@partnerkin_job;channel
rabotanizhnekamsk;https://t.me/s/rabotanizhnekamsk;Работа Нижнекамск;Группа №1 по поиску работы в Нижнекамске.;8455;https://tgstat.ru/channel/@rabotanizhnekamsk;channel
workk_onleads;https://t.me/s/workk_onleads;WORK ON | LEADS;Канал с ежедневными подборками актуальных вакансий;8453;https://tgstat.ru/channel/@workk_onleads;channel
pharmed_recruitment;https://t.me/s/pharmed_recruitment;💉Фарма&Медикал Рекрутмент / Вакансии в Фарме, Работа в Фарме;По размещению вакансий пишите @izenzero;8439;https://tgstat.ru/channel/@pharmed_recruitment;channel
promorabota;https://t.me/s/promorabota;Подработка в Москве;Интересные вакансии, массовки, работа с ежедневной оплатой, подработки и многое другое.;8418;https://tgstat.ru/channel/@promorabota;channel
aviacareer_official;https://t.me/s/aviacareer_official;AviaCareer | Работа в авиации;Вакансии в авиации ️ Aviation Recruitment Platform ️ www.aviacareer.com ️;8418;https://tgstat.ru/channel/@aviacareer_official;channel
freelancer_group_design;https://t.me/s/freelancer_group_design;ИЩУ ДИЗАЙНЕРА ХУДОЖНИКА ИЛЛЮСТРАТОРА МОНТАЖЁРА АНИМАТОРА МОУШЕН ДИЗАЙНЕРА САЙТЫ UI/UX FREELANCER ARTISTS ILLUSTRATORS DESIGNERS;Опубликовать вакансию / Publish a proposal - @Milena_Sill;8314;https://tgstat.ru/channel/@freelancer_group_design;channel
reklamodromo;https://t.me/s/reklamodromo;Рекламодром: таргетолог, директолог, контекстолог, настройка рекламы ВК и Телеграм;Помогаем быстро закрывать вакансии в сфере маркетинга и рекламы. Работаем с физ/юрлицами.;8284;https://tgstat.ru/channel/@reklamodromo;channel
little_job_VDK;https://t.me/s/little_job_VDK;Работа Владивосток-Артем;Канал по поиску работы;8267;https://tgstat.ru/channel/@little_job_VDK;channel
hiddengurus;https://t.me/s/hiddengurus;Hidden Gurus - Remote IT;Мировой концентрат высококачественных вакансий на удалёнку для IT гуру.;8255;https://tgstat.ru/channel/@hiddengurus;channel
itjobs_nocode;https://t.me/s/itjobs_nocode;Вайб-кодинг | No Code;Вакансии отобраны в ручную;8207;https://tgstat.com/ru/channel/@itjobs_nocode;channel
jobsRT;https://t.me/s/jobsRT;Джобстудей;Вакансии от RT и полезный контент для журналистов.;8135;https://tgstat.ru/channel/@jobsRT;channel
rabota_go;https://t.me/s/rabota_go;Вакансии 🤟🏻 Маркетинг, Продажи, SMM | Работа GO - разместить вакансию и резюме;️Для размещения пиши: @digital_make;8059;https://tgstat.ru/channel/@rabota_go;channel
hrterra;https://t.me/s/hrterra;HR | TERRA Работа, Вакансии;Вся информация в закрепленных сообщениях;8044;https://tgstat.ru/channel/@hrterra;channel
freelancesmm;https://t.me/s/freelancesmm;Самозанятый - вакансии | Фрилансеры;Более 150 вакансий в неделю;8007;https://tgstat.ru/channel/@freelancesmm;channel
krasnodarrabotay;https://t.me/s/krasnodarrabotay;Работа Краснодар;Разместить вакансию  @RabotaKrasnodara23;7972;https://tgstat.ru/channel/@krasnodarrabotay;channel
RabotaRestorHoreca;https://t.me/s/RabotaRestorHoreca;Работа в Restor MoskoW ®️;Канал по поиску работы.;7950;https://tgstat.ru/channel/@RabotaRestorHoreca;channel
theypaygood;https://t.me/s/theypaygood;Вакансии с ЗП выше 50 тысяч;Работа и вакансии с зарплатой выше 50 000 рублей.;7935;https://tgstat.ru/channel/@theypaygood;channel
designizer;https://t.me/s/designizer;Вакансии для дизайнеров;Вакансии для веб-дизайнеров.;7895;https://tgstat.ru/channel/@designizer;channel
rcm_job;https://t.me/s/rcm_job;АРКМ. Вакансии и резюме;Канал с вакансиями и резюме в сфере комьюнити-менеджмента и коммуникаций.;7828;https://tgstat.ru/channel/@rcm_job;channel
tpeople;https://t.me/s/tpeople;Tpeople - your finance career;По вопросам размещения вакансий пишите @vic_kozlov (6000 рублей совместно с чатом @cfa_club);7771;https://tgstat.ru/channel/@tpeople;channel
jobs_marketplace;https://t.me/s/jobs_marketplace;Вакансии для менеджеров маркетплейса | Удаленная работа Wildberries Ozon;Канал продается, пишите;7730;https://tgstat.ru/channel/@jobs_marketplace;channel
vakantno;https://t.me/s/vakantno;Вакантно. Работа в Москве для домашнего персонала. Вакансии для нянь, домработниц, водителей, поваров, сиделок, семейных пар;Проверенные вакансии для нянь, гувернанток, домработниц, семейных пар, водителей, поваров, сиделок и горничных.;7584;https://tgstat.ru/channel/@vakantno;channel
animator_jobs;https://t.me/s/animator_jobs;CG Animator Jobs;CG Animator Jobs board;7534;https://tgstat.ru/channel/@animator_jobs;channel
bankman_20;https://t.me/s/bankman_20;BANKMAN // Вакансии в банках;Канал о работе в банковском секторе: полезные советы, вакансии, пути достижения успеха и просто интересные истории. Если вам есть, чем поделиться – полезной информацией или просто накипело, пишите @yulia_poselennova.;7455;https://tgstat.ru/channel/@bankman_20;channel
jobkzn;https://t.me/s/jobkzn;Работа в Казани;С классными вакансиями и предложениями пишите;7448;https://tgstat.ru/channel/@jobkzn;channel
rizk_ot_allaha;https://t.me/s/rizk_ot_allaha;Работа الحلال Татарстан;Помощь в поиске работы и работников !;7399;https://tgstat.ru/channel/@rizk_ot_allaha;channel
searcher_freelance;https://t.me/s/searcher_freelance;СЁРЧЕР | ВАКАНСИИ | УДАЛЕНКА;70+ крутых вакансий в будние дни!;7362;https://tgstat.ru/channel/@searcher_freelance;channel
testerrjob;https://t.me/s/testerrjob;Вакансии по QA — тестирование, manual testing, autotests;Лучшие вакансии по тестированию.;7346;https://tgstat.ru/channel/@testerrjob;channel
HR_Analytics_Jobs;https://t.me/s/HR_Analytics_Jobs;Вакансии в HR-Аналитике;Ежедневно публикуем вакансии для HR-Аналитиков. Лучшие компании. Подпишитесь и найдите работу своей мечты!;7181;https://tgstat.ru/channel/@HR_Analytics_Jobs;channel
